0.42,I,VVS2,Ideal,$406.00 
0.4,E,SI1,Ideal,$407.00 
0.3,D,VVS1,Ideal,$409.00 
0.36,F,VVS2,Excellent,$409.00 
0.42,G,SI1,Ideal,$410.00 
0.33,F,VVS1,Ideal,$415.00 
0.41,E,SI1,Ideal,$417.00 
0.39,E,VS2,Ideal,$417.00 
0.41,D,SI2,Ideal,$421.00 
0.45,I,VS1,Very Good,$424.00 
0.38,D,VS2,Ideal,$425.00 
0.43,E,SI1,Ideal,$426.00 
0.52,F,SI1,Ideal,$428.00 
0.35,E,VVS2,Ideal,$429.00 
0.38,E,VS1,Ideal,$430.00 
0.39,D,VS2,Excellent,$436.00 
0.51,K,SI1,Ideal,$440.00 
0.51,K,SI1,Ideal,$440.00 
0.39,E,VS1,Ideal,$441.00 
0.4,H,VVS1,Very Good,$442.00 
0.56,H,SI1,Ideal,$446.00 
0.39,D,VS1,Ideal,$449.00 
0.35,D,VVS2,Ideal,$451.00 
0.5,K,VS1,Ideal,$452.00 
0.4,E,VVS1,Excellent,$453.00 
0.4,E,VS2,Ideal,$453.00 
0.46,G,SI1,Ideal,$454.00 
0.37,F,VVS1,Excellent,$459.00 
0.4,G,VS2,Ideal,$460.00 
0.51,E,SI2,Very Good,$463.00 
0.36,D,VVS2,Ideal,$463.00 
0.47,E,SI2,Ideal,$465.00 
0.39,E,VVS2,Ideal,$466.00 
0.5,K,VVS2,Ideal,$469.00 
0.48,D,SI2,Excellent,$469.00 
0.37,F,VVS1,Excellent,$471.00 
0.47,I,VVS2,Ideal,$471.00 
0.4,G,VS1,Ideal,$472.00 
0.41,D,SI1,Excellent,$473.00 
0.48,G,SI1,Excellent,$474.00 
0.37,E,VVS1,Ideal,$476.00 
0.45,D,SI1,Ideal,$478.00 
0.53,K,VS1,Excellent,$479.00 
0.48,I,VVS2,Ideal,$481.00 
0.38,D,VVS2,Excellent,$483.00 
0.51,G,SI2,Ideal,$484.00 
0.41,G,VS1,Ideal,$484.00 
0.4,G,VVS2,Ideal,$484.00 
0.45,E,SI1,Ideal,$484.00 
0.43,D,SI1,Ideal,$486.00 
0.5,J,VS1,Very Good,$486.00 
0.7,J,SI1,Ideal,$489.00 
0.53,K,VVS2,Ideal,$497.00 
0.53,K,VVS2,Excellent,$497.00 
0.53,K,VVS2,Ideal,$497.00 
0.43,H,VVS1,Ideal,$501.00 
