1.02,E,VS1,EXCELLENT,"$3,244.00USD"
1.02,E,VVS2,,"$3,252.00USD"
1.02,F,VVS1,IDEAL,"$3,519.00USD"
1.03,K,VS1,IDEAL,"$1,450.00USD"
1.03,I,I1,IDEAL,"$1,483.00USD"
1.03,I,SI1,IDEAL,"$1,570.00USD"
1.03,H,SI1,EXCELLENT,"$1,659.00USD"
1.03,I,VS2,EXCELLENT,"$1,659.00USD"
1.03,H,I1,EXCELLENT,"$1,663.00USD"
1.03,H,I1,EXCELLENT,"$1,663.00USD"
1.03,J,VS2,IDEAL,"$1,687.00USD"
1.03,G,I1,EXCELLENT,"$1,753.00USD"
1.03,G,I1,IDEAL,"$1,753.00USD"
1.03,I,VS2,IDEAL,"$1,817.00USD"
1.03,I,VS1,EXCELLENT,"$1,882.00USD"
1.03,I,VS1,IDEAL,"$1,901.00USD"
1.03,G,SI2,IDEAL,"$1,901.00USD"
1.03,H,VS1,IDEAL,"$2,266.00USD"
1.03,H,VS1,EXCELLENT,"$2,266.00USD"
1.03,E,SI1,EXCELLENT,"$2,330.00USD"
1.03,G,VS1,IDEAL,"$2,594.00USD"
1.03,G,VS1,IDEAL,"$2,594.00USD"
1.03,G,VS1,EXCELLENT,"$2,594.00USD"
1.03,G,VS1,IDEAL,"$2,594.00USD"
1.03,F,VS2,EXCELLENT,"$2,622.00USD"
1.03,E,VS2,IDEAL,"$2,641.00USD"
1.03,G,VVS2,EXCELLENT,"$2,684.00USD"
1.03,F,VS1,VERY GOOD,"$2,950.00USD"
1.03,F,VVS2,EXCELLENT,"$3,146.00USD"
1.03,E,VS1,IDEAL,"$3,165.00USD"
1.04,K,VS1,IDEAL,"$1,485.00USD"
1.04,I,I1,EXCELLENT,"$1,498.00USD"
1.04,J,SI1,IDEAL,"$1,552.00USD"
1.04,H,I1,VERY GOOD,"$1,679.00USD"
1.04,I,VS2,IDEAL,"$1,834.00USD"
1.04,I,VS1,EXCELLENT,"$1,884.00USD"
1.04,I,VS1,IDEAL,"$1,900.00USD"
1.04,I,VS1,EXCELLENT,"$1,919.00USD"
1.04,H,VVS2,EXCELLENT,"$2,345.00USD"
1.04,G,VS1,IDEAL,"$2,619.00USD"
1.04,G,VS1,IDEAL,"$2,619.00USD"
1.04,G,VS1,IDEAL,"$2,619.00USD"
1.04,G,VVS2,IDEAL,"$2,667.00USD"
1.04,D,SI2,,"$2,704.00USD"
1.04,G,VVS2,EXCELLENT,"$2,710.00USD"
1.04,G,VS1,IDEAL,"$2,881.00USD"
1.04,F,VS1,IDEAL,"$2,978.00USD"
1.04,G,VS1,IDEAL,"$2,995.00USD"
1.04,F,VS1,IDEAL,"$2,995.00USD"
1.04,E,VS1,IDEAL,"$3,197.00USD"
1.04,H,SI1,,"$3,336.00USD"
1.04,E,VS1,IDEAL,"$3,567.00USD"
1.04,F,VVS1,IDEAL,"$3,588.00USD"
1.04,E,VS1,EXCELLENT,"$3,723.00USD"
1.05,K,SI1,IDEAL,"$1,413.00USD"
1.05,K,VS1,IDEAL,"$1,478.00USD"
1.05,I,I1,EXCELLENT,"$1,512.00USD"
1.05,I,I1,EXCELLENT,"$1,512.00USD"
1.05,J,VS2,IDEAL,"$1,604.00USD"
1.05,H,I1,VERY GOOD,"$1,695.00USD"
1.05,H,I1,EXCELLENT,"$1,695.00USD"
1.05,G,I1,EXCELLENT,"$1,787.00USD"
1.05,I,VS2,IDEAL,"$1,852.00USD"
1.05,I,VS1,EXCELLENT,"$1,938.00USD"
1.05,F,SI2,EXCELLENT,"$2,038.00USD"
1.05,F,SI2,EXCELLENT,"$2,038.00USD"
1.05,I,SI2,VERY GOOD,"$2,090.00USD"
1.05,I,SI1,IDEAL,"$2,300.00USD"
1.05,H,VS1,IDEAL,"$2,310.00USD"
1.05,H,VS1,EXCELLENT,"$2,310.00USD"
1.05,G,VS2,EXCELLENT,"$2,463.00USD"
1.05,G,VS1,IDEAL,"$2,644.00USD"
1.05,G,VS1,EXCELLENT,"$2,644.00USD"
1.05,F,VS2,VERY GOOD,"$2,673.00USD"
1.05,F,VS2,EXCELLENT,"$2,673.00USD"
1.05,G,VVS2,IDEAL,"$2,768.00USD"
1.05,F,VS1,EXCELLENT,"$3,007.00USD"
1.05,D,VVS1,,"$4,238.00USD"
1.06,K,SI1,EXCELLENT,"$1,426.00USD"
1.06,K,VVS2,IDEAL,"$1,560.00USD"
1.06,J,VS1,EXCELLENT,"$1,696.00USD"
1.06,J,VS1,VERY GOOD,"$1,696.00USD"
1.06,J,VS1,IDEAL,"$1,749.00USD"
1.06,J,VVS2,EXCELLENT,"$1,785.00USD"
1.06,J,VVS2,EXCELLENT,"$1,785.00USD"
1.06,I,VS2,IDEAL,"$1,869.00USD"
1.06,I,VS1,IDEAL,"$1,956.00USD"
1.06,I,VS1,EXCELLENT,"$1,956.00USD"
1.06,I,VVS2,IDEAL,"$2,131.00USD"
1.06,I,VVS2,IDEAL,"$2,162.00USD"
1.06,H,VS2,IDEAL,"$2,236.00USD"
1.06,H,VS1,EXCELLENT,"$2,332.00USD"
1.06,H,VS1,IDEAL,"$2,332.00USD"
1.06,H,VS1,IDEAL,"$2,332.00USD"
1.06,H,VVS2,EXCELLENT,"$2,390.00USD"
1.06,F,SI1,EXCELLENT,"$2,392.00USD"
1.06,G,VS2,EXCELLENT,"$2,486.00USD"
1.06,G,VS2,EXCELLENT,"$2,486.00USD"
1.06,I,SI1,IDEAL,"$2,555.00USD"
1.06,G,VS1,EXCELLENT,"$2,669.00USD"
1.06,G,VS1,IDEAL,"$2,669.00USD"
1.06,E,VS2,EXCELLENT,"$2,808.00USD"
1.06,E,VS2,EXCELLENT,"$2,808.00USD"
1.06,H,SI2,,"$2,860.00USD"
1.06,H,VS2,,"$2,929.00USD"
1.06,H,VS2,,"$2,929.00USD"
1.06,F,VS1,EXCELLENT,"$3,035.00USD"
1.06,F,VS1,IDEAL,"$3,053.00USD"
1.06,H,VVS2,,"$4,101.00USD"
1.07,J,SI2,EXCELLENT,"$1,454.00USD"
1.07,I,I1,EXCELLENT,"$1,541.00USD"
1.07,H,I1,EXCELLENT,"$1,728.00USD"
1.07,J,VS1,IDEAL,"$1,739.00USD"
1.07,J,VVS2,IDEAL,"$1,802.00USD"
1.07,I,SI1,IDEAL,"$1,805.00USD"
1.07,G,I1,IDEAL,"$1,821.00USD"
1.07,I,VS2,IDEAL,"$1,887.00USD"
1.07,I,VS1,IDEAL,"$1,955.00USD"
1.07,I,VS1,EXCELLENT,"$1,975.00USD"
